sequence,sequence_as_text,freq,dl_model,dl_data,dl_total
[2 3 5],[e   u],2891,22510.38894288753,2.098937990420551e+07,2.1011890293148395e+07
[2 3 6],[e   l],5028,22457.406794849823,2.0989471934432458e+07,2.1011929341227308e+07
[2 3 7],[e   o],13744,22750.186774232927,2.0987206398266546e+07,2.1009956585040778e+07
[2 3 8],[e   n],4554,22529.425167239642,2.0984487912974104e+07,2.1007017338141344e+07
[2 3 9],[e   c],11878,22548.27395749814,2.0987107894103296e+07,2.1009656168060794e+07
[2 3 10],[e   y],1269,22420.09113258314,2.0991380178449336e+07,2.101380026958192e+07
[2 3 11],[e   g],3874,22544.86801690294,2.0989675545980457e+07,2.101222041399736e+07
[2 3 12],[e   r],6435,22497.828309750017,2.098767495612607e+07,2.101017278443582e+07
[2 3 13],[e   a],16249,22770.538749036412,2.1013430341974806e+07,2.103620088072384e+07
[2 3 14],[e   d],6956,22526.269266623887,2.098507734546963e+07,2.1007603614736255e+07
[2 3 15],[e   j],923,22462.61148904092,2.0994218324877508e+07,2.101668093636655e+07
[2 3 16],[e   s],15906,22662.871270044525,2.0979128202814665e+07,2.100179107408471e+07
[2 3 17],[e   i],10251,22624.5219331718,2.0998861902691465e+07,2.1021486424624637e+07
[2 3 18],[e   v],1571,22381.20030937128,2.0992847700410362e+07,2.1015228900719732e+07
[2 3 19],[e   XXX],3653,22827.351292107433,2.0996389485267892e+07,2.101921683656e+07
[2 3 20],[e   p],9665,22530.848285985343,2.0989827832919106e+07,2.101235868120509e+07
[2 3 21],[e   m],8206,22537.84733197792,2.0991774788747836e+07,2.1014312636079814e+07
[2 3 22],[e   k],1238,22467.847862209128,2.0991898904356737e+07,2.1014366752218947e+07
[2 3 23],[e   .],6947,22976.850890546542,2.099938950329982e+07,2.102236635419037e+07
[2 3 25],[e   ,],8301,22335.361274634786,2.100215961334174e+07,2.1024494974616375e+07
[2 3 26],[e   w],12061,22484.618016829456,2.0997137076005958e+07,2.1019621694022786e+07
[2 3 27],[e   b],7586,22535.760433842053,2.0998703773554772e+07,2.1021239533988614e+07
